label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve,sing,cond,./networks/vmodel/vmodel-sing_n6_mID4_mD6_mV4_nV2-1.uai,0,5,0,0.06691002545040246 0.2110392075074108 0.3130285618976044 0.3595403669506995 0.4546149822665548 0.6094614281319649,663.0
vm_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve,mult,marg,./networks/vmodel/vmodel-mult_n6_mID4_mD6_mV4_nV2-1.uai,3,,2,0.156214066754 0.891179921098 0.10882007890200002 0.843785933246,37093.0
vm_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve,mult,cond,./networks/vmodel/vmodel-mult_n6_mID4_mD6_mV4_nV2-1.uai,0,4 3,0,,
vs_n7_mID4_mD6_mV4_nV2-1,2,6,4,4,7,cve,sing,marg,./networks/vmodel/vmodel-sing_n7_mID4_mD6_mV4_nV2-1.uai,6,,0,0.38457660135873806 0.8986246747996304 0.10137532520036963 0.6154233986412619,182.0
vs_n7_mID4_mD6_mV4_nV2-1,2,6,4,4,7,cve,sing,cond,./networks/vmodel/vmodel-sing_n7_mID4_mD6_mV4_nV2-1.uai,0,6,0,0.4864024762923375 0.8014471661983383 0.19855283380166178 0.5135975237076625,196.0
vm_n7_mID4_mD6_mV4_nV2-1,2,6,4,4,7,cve,mult,marg,./networks/vmodel/vmodel-mult_n7_mID4_mD6_mV4_nV2-1.uai,2,,3,,
vm_n7_mID4_mD6_mV4_nV2-1,2,6,4,4,7,cve,mult,cond,./networks/vmodel/vmodel-mult_n7_mID4_mD6_mV4_nV2-1.uai,0,5 4 2,0,,
vs_n8_mID4_mD6_mV4_nV2-1,2,6,4,4,8,cve,sing,marg,./networks/vmodel/vmodel-sing_n8_mID4_mD6_mV4_nV2-1.uai,7,,0,0.21369531792661384 0.7148889295021095 0.28511107049789053 0.7863046820733861,8773.0
vs_n8_mID4_mD6_mV4_nV2-1,2,6,4,4,8,cve,sing,cond,./networks/vmodel/vmodel-sing_n8_mID4_mD6_mV4_nV2-1.uai,0,7,0,0.07388498997903933 0.7017330241970051 0.28197261948247376 0.7544074352454817 0.00909615578695949 0.13072660797668148 0.005554391650492511 0.06516333920424676,21984.0
vm_n8_mID4_mD6_mV4_nV2-1,2,6,4,4,8,cve,mult,marg,./networks/vmodel/vmodel-mult_n8_mID4_mD6_mV4_nV2-1.uai,1,,2,,
vm_n8_mID4_mD6_mV4_nV2-1,2,6,4,4,8,cve,mult,cond,./networks/vmodel/vmodel-mult_n8_mID4_mD6_mV4_nV2-1.uai,2,3 1,0,,
vs_n9_mID4_mD6_mV4_nV2-1,2,6,4,4,9,cve,sing,marg,./networks/vmodel/vmodel-sing_n9_mID4_mD6_mV4_nV2-1.uai,8,,0,0.2258606903014856 0.6420353117725925 0.2758091229339201 0.664599416907312 0.031499051176978626 0.17715951560345697,155588.0
vs_n9_mID4_mD6_mV4_nV2-1,2,6,4,4,9,cve,sing,cond,./networks/vmodel/vmodel-sing_n9_mID4_mD6_mV4_nV2-1.uai,0,8,0,0.08308214876710872 0.8666222566120149 0.03195279404212717 0.10265654832396222 0.10029711052771388 0.8306383010956729,348925.0
vm_n9_mID4_mD6_mV4_nV2-1,2,6,4,4,9,cve,mult,marg,./networks/vmodel/vmodel-mult_n9_mID4_mD6_mV4_nV2-1.uai,2,,4,0.11865280459112601 0.710734297376644 0.08526389734888401 0.546658396017908 0.08085083200634999 0.525140661799564,765.0
vm_n9_mID4_mD6_mV4_nV2-1,2,6,4,4,9,cve,mult,cond,./networks/vmodel/vmodel-mult_n9_mID4_mD6_mV4_nV2-1.uai,3,4 2 0,0,,
vs_n10_mID4_mD6_mV4_nV2-1,2,6,4,4,10,cve,sing,marg,./networks/vmodel/vmodel-sing_n10_mID4_mD6_mV4_nV2-1.uai,9,,0,0.11943732206531266 0.579855207785913 0.019260005781878954 0.3733794969765313 0.01843732206531265 0.45940119786283157 0.14051526438027004 0.5796389245705154,154927.0
vs_n10_mID4_mD6_mV4_nV2-1,2,6,4,4,10,cve,sing,cond,./networks/vmodel/vmodel-sing_n10_mID4_mD6_mV4_nV2-1.uai,0,9,0,0.1442025264254445 0.683031192863657 0.316968807136343 0.8557974735745555,254416.0
vm_n10_mID4_mD6_mV4_nV2-1,2,6,4,4,10,cve,mult,marg,./networks/vmodel/vmodel-mult_n10_mID4_mD6_mV4_nV2-1.uai,4,,5,0.07047696100623 0.49518750428615016 0.13888486675171005 0.4045723778957001 0.36592762896214004 0.5249506610980702,135.0
vm_n10_mID4_mD6_mV4_nV2-1,2,6,4,4,10,cve,mult,cond,./networks/vmodel/vmodel-mult_n10_mID4_mD6_mV4_nV2-1.uai,3,9 8 4 2 1,0,,
vs_n4_mID6_mD6_mV4_nV2-1,2,6,6,4,4,cve,sing,marg,./networks/vmodel/vmodel-sing_n4_mID6_mD6_mV4_nV2-1.uai,3,,0,0.19421728110000006 0.8072959903389999 0.050461030504 0.40205716636100003 0.113900602301 0.57282318268,48.0
vs_n4_mID6_mD6_mV4_nV2-1,2,6,6,4,4,cve,sing,cond,./networks/vmodel/vmodel-sing_n4_mID6_mD6_mV4_nV2-1.uai,0,3,0,0.23901496143995335 0.8646917427066042 0.05539194449811918 0.7279208356317203 0.019520126972975116 0.24834284269281937,55.0
vm_n4_mID6_mD6_mV4_nV2-1,2,6,6,4,4,cve,mult,marg,./networks/vmodel/vmodel-mult_n4_mID6_mD6_mV4_nV2-1.uai,1,,2,0.042470999999999995 0.10747000000000001 0.06343700000000001 0.907669 0.04986 0.883714,35.0
vm_n4_mID6_mD6_mV4_nV2-1,2,6,6,4,4,cve,mult,cond,./networks/vmodel/vmodel-mult_n4_mID6_mD6_mV4_nV2-1.uai,0,3 2 1,0,0.015124098020675047 0.9994160859012416 0.0002870523533126588 0.637410800754999 0.00024015382766774413 0.9814755690191812,41.0
vs_n5_mID6_mD6_mV4_nV2-1,2,6,6,4,5,cve,sing,marg,./networks/vmodel/vmodel-sing_n5_mID6_mD6_mV4_nV2-1.uai,4,,0,0.099597551289386 0.854805648275936 0.14519435172406397 0.9004024487106139,68.0
vs_n5_mID6_mD6_mV4_nV2-1,2,6,6,4,5,cve,sing,cond,./networks/vmodel/vmodel-sing_n5_mID6_mD6_mV4_nV2-1.uai,0,4,0,0.4943646316285195 0.7521352115594098 0.011959515203744178 0.14903102571184088 0.09521165635590847 0.37585130542766515 0.03308095386041707 0.1300410001498571,84.0
vm_n5_mID6_mD6_mV4_nV2-1,2,6,6,4,5,cve,mult,marg,./networks/vmodel/vmodel-mult_n5_mID6_mD6_mV4_nV2-1.uai,2,,1,0.09841747344600002 0.40268894191499993 0.151707304716 0.488608732188 0.208321063685 0.725997206621,64.0
vm_n5_mID6_mD6_mV4_nV2-1,2,6,6,4,5,cve,mult,cond,./networks/vmodel/vmodel-mult_n5_mID6_mD6_mV4_nV2-1.uai,0,2 1,0,0.0025282090786614884 0.6657774905572774 2.1519028832616465e-05 0.8876879182291091 0.04083561543410247 0.8950853456386892 0.003409579202832327 0.95376836810952,52062.0
vs_n6_mID6_mD6_mV4_nV2-1,2,6,6,4,6,cve,sing,marg,./networks/vmodel/vmodel-sing_n6_mID6_mD6_mV4_nV2-1.uai,5,,0,0.1776677308270053 0.5404145435698803 0.08990363084148617 0.7591919420829313 0.046259716348066526 0.4717130885372629,578.0
vs_n6_mID6_mD6_mV4_nV2-1,2,6,6,4,6,cve,sing,cond,./networks/vmodel/vmodel-sing_n6_mID6_mD6_mV4_nV2-1.uai,0,5,0,0.24472750095088447 0.6516821259848213 0.04720293003458513 0.24027133816652593 0.2961207295845256 0.547399396314817,940.0
vm_n6_mID6_mD6_mV4_nV2-1,2,6,6,4,6,cve,mult,marg,./networks/vmodel/vmodel-mult_n6_mID6_mD6_mV4_nV2-1.uai,2,,2,0.07381680891 0.7348165198400001 0.013313359471999998 0.03273041503300001 0.07868906938 0.83804238713 0.044617509802 0.4249655589590001,362.0
vm_n6_mID6_mD6_mV4_nV2-1,2,6,6,4,6,cve,mult,cond,./networks/vmodel/vmodel-mult_n6_mID6_mD6_mV4_nV2-1.uai,5,4 2 0,0,0.008920245754435238 0.8991063761621214 3.4276014547369536e-05 0.9558407765888658 0.0002790198189738753 0.985845839169319 0.001378296730620669 0.8517876306724462,48224.0
vs_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,sing,marg,./networks/vmodel/vmodel-sing_n7_mID6_mD6_mV4_nV2-1.uai,6,,0,0.3577680402938693 0.7091421832010638 0.2908578167989362 0.6422319597061307,2327.0
vs_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,sing,cond,./networks/vmodel/vmodel-sing_n7_mID6_mD6_mV4_nV2-1.uai,0,6,0,0.5065847028103537 0.6480546004219262 0.35194539957807375 0.4934152971896464,3355.0
vm_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,mult,marg,./networks/vmodel/vmodel-mult_n7_mID6_mD6_mV4_nV2-1.uai,6,,2,,
vm_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,mult,cond,./networks/vmodel/vmodel-mult_n7_mID6_mD6_mV4_nV2-1.uai,1,6 4 0,0,,
vs_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,sing,marg,./networks/vmodel/vmodel-sing_n8_mID6_mD6_mV4_nV2-1.uai,7,,0,0.12397865369160642 0.4207452584799566 0.09130152894344022 0.7775046742382257 0.07537751617815279 0.6714518786740294,5723.0
vs_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,sing,cond,./networks/vmodel/vmodel-sing_n8_mID6_mD6_mV4_nV2-1.uai,0,7,0,0.05999836783866511 0.13649236216715466 0.07520209378138336 0.12286354164095409 0.042011735061096664 0.5650560154187836 0.20884654005716197 0.8192427132929226,16558.0
vm_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,mult,marg,./networks/vmodel/vmodel-mult_n8_mID6_mD6_mV4_nV2-1.uai,3,,4,0.21493409757999998 0.79920723512 0.20079276488000003 0.78506590242,8748.0
vm_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,mult,cond,./networks/vmodel/vmodel-mult_n8_mID6_mD6_mV4_nV2-1.uai,1,7 6 3,0,,
vs_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,sing,marg,./networks/vmodel/vmodel-sing_n9_mID6_mD6_mV4_nV2-1.uai,8,,0,0.04662697197140242 0.8297008234741142 0.034934078695551894 0.22608348454388955 0.026841826061167855 0.20357190567324077 0.02985104015623021 0.7818824147689653,1381.0
vs_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,sing,cond,./networks/vmodel/vmodel-sing_n9_mID6_mD6_mV4_nV2-1.uai,0,8,0,0.35812049649907624 0.5118181457312628 0.3709197086361146 0.6145112535501448 0.025702807740964537 0.1268711826288075,2530.0
vm_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,mult,marg,./networks/vmodel/vmodel-mult_n9_mID6_mD6_mV4_nV2-1.uai,1,,2,,
vm_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,mult,cond,./networks/vmodel/vmodel-mult_n9_mID6_mD6_mV4_nV2-1.uai,4,6 2 1,0,,
vs_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,sing,marg,./networks/vmodel/vmodel-sing_n10_mID6_mD6_mV4_nV2-1.uai,9,,0,0.47257330042018253 0.8897423099666956 0.11025769003330438 0.5274266995798175,270032.0
vs_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,sing,cond,./networks/vmodel/vmodel-sing_n10_mID6_mD6_mV4_nV2-1.uai,0,9,0,,
vm_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,mult,marg,./networks/vmodel/vmodel-mult_n10_mID6_mD6_mV4_nV2-1.uai,0,,4,,
vm_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,mult,cond,./networks/vmodel/vmodel-mult_n10_mID6_mD6_mV4_nV2-1.uai,3,8 6 0,0,,
vs_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,sing,marg,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV4-1.uai,3,,0,0.020474433986000004 0.5962191198079999 0.40378088019200004 0.9795255660140002,173.0
vs_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,sing,cond,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV4-1.uai,0,3,0,0.010658368965991724 0.9162321172536735 0.0026479426832790925 0.9883755067666951 0.00022211887949629455 0.9388978618429978 0.0007038124951597892 0.7350192678451443,241.0
vm_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,mult,marg,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV4-1.uai,2,,0,,
vm_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,mult,cond,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV4-1.uai,0,2,0,,
